     1|     1|     1|     1|     1|     1|     1|     1|     1|     1|     1|     1|     1|     1|     1|     1|     1|     1|     1|     1|     1|target_commit	mode	throughput	mean_ttft_ms	autotune_applied	last_tuned_eff_weight	status	description
    27|    27|    27|    27|    27|    27|    27|    27|    27|    27|    27|    27|    27|    27|    27|    27|    27|    27|    27|    27|    27|2ab3ce201	fast	5.386282731029937	178867.76927420276	1	0.1	discard	first round uses a 7-point low-to-mid coarse grid without later local refinement; slower and left round 2 inflight on this proxy run
    28|    28|    28|    28|    28|    28|    28|    28|    28|    28|    28|    28|    28|    28|    28|    28|    28|    28|    28|    28|    28|2ab3ce201	fast	5.337658772654345	180587.68710144432	1	0.5	discard	double the later-round target after the first apply so fast proxy runs do not launch a noisy second round too early; lower throughput and worse TTFT
    29|    29|    29|    29|    29|    29|    29|    29|    29|    29|    29|    29|    29|    29|    29|    29|    29|    29|    29|    29|    29|2ab3ce201	fast	5.225075425145465	185762.2672462682	1	0.1	discard	first-round coarse grid focuses on low-to-mid positive weights with a 1.5 anchor; slower and left round 2 inflight on this proxy run
    30|    30|    30|    30|    30|    30|    30|    30|    30|    30|    30|    30|    30|    30|    30|    30|    30|    30|    30|    30|    30|2ab3ce201	fast	5.29512257289041	182403.3391600368	1	0.1	discard	first-round coarse grid explicitly keeps 0.0 plus a denser 0.1-0.7 ladder and 1.5 anchor; improved over prior variant but still below the best kept proxy result
    31|    31|    31|    31|    31|    31|    31|    31|    31|    31|    31|    31|    31|    31|    31|    31|    31|    31|    31|    31|    31|2ab3ce201	fast	5.43996834569512	179007.15517089324	2	0.1	discard	later rounds use a centered 9-point local refinement window around the active weight so round 2 finishes; strong TTFT but still below the best kept proxy throughput
    32|    32|    32|    32|    32|    32|    32|    32|    32|    32|    32|    32|    32|    32|    32|    32|    32|    32|    32|    32|    32|2ab3ce201	fast	5.341412257597149	181416.21741757673	1	0.1	discard	first-round coarse grid probes low-to-mid weights (0.0-1.0) instead of evenly spaced anchors; slower and left round 2 inflight
    33|    33|    33|    33|    33|    33|    33|    33|    33|    33|    33|    33|    33|    33|    33|    33|    33|    33|    33|    33|2ab3ce201	fast	5.1363086632445905	188070.99660444056	2	0.3	discard	later rounds use a 5-point local refinement window around the active weight; dropped throughput and TTFT regressed to 0.3
    34|    34|    34|    34|    34|    34|    34|    34|    34|    34|    34|    34|    34|    34|    34|    34|    34|    34|    34|2ab3ce201	fast	5.2953952515971165	182174.20921136273	1	0.1	discard	first-round coarse grid uses five low-positive anchors (0.0,0.1,0.3,0.5,1.0); slower and left round 2 inflight
    35|    35|    35|    35|    35|    35|    35|    35|    35|    35|    35|    35|    35|    35|    35|    35|    35|    35|2ab3ce201	fast	5.159964899822745	186631.63689058807	2	0.1	discard	focused first-round low-mid bootstrap grid plus centered 9-point later-round local refinement; completed both rounds but regressed throughput and TTFT
    36|    36|    36|    36|    36|    36|    36|    36|    36|    36|    36|    36|    36|    36|    36|    36|    36|    36|2ab3ce201	fast	5.243323443949248	184730.79676887768	2	0.1	discard	later rounds use a centered 9-point local refinement window around the active weight; completed both rounds but still regressed throughput vs the best known local state
    37|    37|    37|    37|    37|    37|    37|    37|    37|    37|    37|    37|    37|    37|    37|    37|    37|    37|2ab3ce201	fast	5.43195713971911	178077.9751822412	2	0.1	discard	later-round local refinement skips the zero-weight probe once a positive weight is active; improved within this batch but still below the best known kept proxy throughput
    38|    38|    38|    38|    38|    38|    38|    38|    38|    38|    38|    38|    38|    38|    38|    38|    38|    38|2ab3ce201	fast	5.501306329269509	176074.84469717988	2	0.1	keep	restore a 7-point low-to-mid bootstrap grid and centered 9-point later-round local refinement around the active weight
    39|    39|    39|    39|    39|    39|    39|    39|    39|    39|    39|    39|    39|    39|    39|    39|    39|    39|
    40|    40|    40|    40|    40|    40|    40|    40|    40|    40|    40|    40|    40|    40|    40|    40|    40|2ab3ce201	fast	5.149940726737478	187091.6833774595	2	0.05	discard	later-round weak-surface freeze keeps current weight when replay score spread is tiny and current weight remains near-best
    41|    41|    41|    41|    41|    41|    41|    41|    41|    41|    41|    41|    41|    41|    41|    41|    41|
    42|    42|    42|    42|    42|    42|    42|    42|    42|    42|    42|    42|    42|    42|    42|    42|2ab3ce201	fast	5.14851908087861	187209.57836808643	2	0.05	discard	skip later-round tuning windows with too few insert-bearing requests so weak replay windows do not trigger refinement
    43|    43|    43|    43|    43|    43|    43|    43|    43|    43|    43|    43|    43|    43|    43|    43|
    44|    44|    44|    44|    44|    44|    44|    44|    44|    44|    44|    44|    44|    44|    44|2ab3ce201	fast	5.262536225960248	182415.90983970612	2	0.1	discard	smooth replay-score objective across neighboring weights to prefer robust local maxima over isolated winner-take-all spikes
    45|    45|    45|    45|    45|    45|    45|    45|    45|    45|    45|    45|    45|    45|    45|
    46|    46|    46|    46|    46|    46|    46|    46|    46|    46|    46|    46|    46|    46|2ab3ce201	fast	5.155458891941547	186738.0799272231	1	0.1	discard	wait for the first post-apply eviction before collecting the later-round replay window
    47|    47|    47|    47|    47|    47|    47|    47|    47|    47|    47|    47|    47|    47|
    48|    48|    48|    48|    48|    48|    48|    48|    48|    48|    48|    48|    48|2ab3ce201	fast	5.495176328445702	178504.04899320696	2	0.1	discard	treat the immediate later round as a cheap 3-point verification pass instead of a full local refinement search
    49|    49|    49|    49|    49|    49|    49|    49|    49|    49|    49|    49|    49|
    50|    50|    50|    50|    50|    50|    50|    50|    50|    50|    50|    50|2ab3ce201	fast	5.142169144588443	187488.4493311694	2	0.05	discard	add a small distance-from-current regularizer to the replay objective so switches must justify larger weight moves
    51|    51|    51|    51|    51|    51|    51|    51|    51|    51|    51|    51|
    52|    52|    52|    52|    52|    52|    52|    52|    52|    52|    52|2ab3ce201	fast	5.131870983196945	188095.15695055402	2	0.05	discard	trim later-round replay windows to the insert-bearing core plus a short informative tail
    53|    53|    53|    53|    53|    53|    53|    53|    53|    53|    53|
    54|    54|    54|    54|    54|    54|    54|    54|    54|    54|2ab3ce201	fast	5.30632459747952	182125.1831427603	2	0.1	discard	choose the replay winner by strongest 3-point local-score floor instead of raw winner-take-all
    55|    55|    55|    55|    55|    55|    55|    55|    55|    55|
    56|    56|    56|    56|    56|    56|    56|    56|    56|2ab3ce201	fast	5.3162434718839675	182329.07514144576	1	0.1	discard	stage later-round weight changes through a half-interval validation pass before applying them
    57|    57|    57|    57|    57|    57|    57|    57|    57|2ab3ce201	fast	5.407557286039812	180224.7546981786	2	0.05	discard	select later-round replay windows from insert-neighborhood requests plus the recent pressure tail
    58|    58|    58|    58|    58|    58|    58|    58|    58|2ab3ce201	fast	5.397067562091969	180772.05435755922	2	0.1	discard	use a noise-aware later-round objective: marginal replay gain over current weight minus local surface span
    59|    59|    59|    59|    59|    59|    59|    59|    59|2ab3ce201	fast	5.477792411352613	178006.0041188502	2	0.05	discard	require later-round positive-weight moves to clear a local-noise margin or repeat once before switching
    60|    60|    60|    60|    60|    60|    60|    60|    60|2ab3ce201	fast	5.419198801738064	179741.5448605175	2	0.05	discard	use a narrower 5-point later-round validation grid and reject edge winners before full local refinement
    61|    61|    61|    61|    61|    61|    61|    61|    61|2ab3ce201	fast	5.143514523444623	187459.86765113412	1	0.1	discard	buffer later rounds to 600 requests, then rebuild a 500-request replay window from insert neighborhoods plus the recent pressure tail
    62|    62|    62|    62|    62|    62|    62|    62|    62|2ab3ce201	fast	5.1458374990538625	187388.29283174392	2	0.1	discard	prefer later-round winners only when their 3-point local replay support beats the current weight, not just the raw peak score
    63|    63|    63|    63|    63|    63|    63|    63|    63|2ab3ce201	fast	5.843664782294244	172018.20076469038	2	0.1	keep	bootstrap tuning uses the shortest recent suffix that satisfies an insert-event replay budget so round 1 learns from denser pressure-bearing traffic
    64|    64|    64|    64|    64|    64|    64|    64|    64|2ab3ce201	fast	5.819168732223286	172467.583233498	2	0.05	discard	bootstrap discovery plus same-window local refinement shifted first apply to 0.2 and final apply to 0.05, slightly below the insert-budget suffix baseline
    65|    65|    65|    65|    65|    65|    65|    65|    65|2ab3ce201	fast	5.831933390799118	171938.448872853	2	0.05	discard	bootstrap near-best tie-break picked the smallest positive near-best weight earlier, but it triggered an extra late round and finished slightly below the insert-budget suffix baseline
    66|    66|    66|    66|    66|    66|    66|    66|    66|2ab3ce201	fast	5.651637558162939	174633.60815869222	2	0.05	discard	later rounds choose the densest pressure-bearing replay suffix among windows that satisfy the insert-event budget
    67|    67|    67|    67|    67|    67|    67|    67|    67|2ab3ce201	fast	5.645317506789069	174829.352656115	2	0.05	discard	reconstruct insert-budget bootstrap suffix plus centered later-round local refinement from clean checkout; below the best kept local proxy throughput
    68|    68|    68|    68|    68|    68|    68|    68|    68|2ab3ce201	fast	5.143662268056809	187371.49998389336	1	0.5	discard	robust objective keeps only near-best total-score weights, then picks the one supported by the most per-request near-wins; regressed throughput and left round 2 inflight
    69|    69|    69|    69|    69|    69|    69|    69|    69|2ab3ce201	fast	5.138405491820068	187597.28210396133	2	0.05	discard	buffer later rounds by 10 percent and choose the highest insert-dense contiguous target-sized segment before local refinement; strong regression
    70|    70|    70|    70|    70|    70|    70|    70|    70|2ab3ce201	fast	5.148973324336706	187401.60128987842	1	0.5	discard	bootstrap shortest recent suffix uses an insert-event budget to prefer denser pressure-bearing replay traffic
    71|    71|    71|    71|    71|    71|    71|    71|2ab3ce201	fast	5.270641047754759	182654.56854248533	1	0.5	discard	use a robust replay objective that adds gain-over-current and per-request support against the active weight
    72|    72|    72|    72|    72|    72|    72|2ab3ce201	fast	5.17005897683986	186103.60222824497	1	0.5	discard	stage post-switch tuning as a validation phase with a longer evidence budget and a focused 3-point local confirmation grid
    73|    73|    73|    73|    73|    73|2ab3ce201	fast	5.307481604316576	181407.03307869975	1	0.5	discard	pressure-aware tuning windows score requests by insert events plus queue pressure and buffer later rounds before selecting the densest segment
    74|    74|    74|    74|    74|2ab3ce201	fast	5.249543272417799	182974.41167173337	1	1.0	discard	robust objective picks among near-best weights using neighborhood-average replay score plus per-request support over the current weight
    75|    75|    75|    75|2ab3ce201	fast	5.291720843642044	183257.2392217982	2	0.3	discard	stage the controller as discovery then a 5-point local validation round around the active weight before later full refinements
    76|    76|    76|
    77|    77|2ab3ce201	fast	5.183595651115469	186202.0113456548	2	0.2	discard	pressure-aware tuning uses the shortest recent suffix that satisfies an insert-event budget
    78|    78|
    79|2ab3ce201	fast	5.296450502667966	181694.10856102483	1	1.0	discard	robust objective picks among near-best weights by strongest 3-point neighborhood-average replay support
    80|
2ab3ce201	fast	5.283935165825245	183515.42595933902	2	0.3	discard	stage the controller as discovery followed by a 5-point local validation round around the active weight
2ab3ce201	fast	5.1349803331713515	187664.86366528066	2	0.1	discard	later rounds trim long post-insert tails and use a broader pressure-aware suffix while keeping the insert-budget bootstrap anchor
2ab3ce201	fast	5.144621093432795	187595.03711803004	2	2.0	discard	later-round objective keeps near-best active weights and otherwise breaks near-best ties by 3-point neighborhood support
2ab3ce201	fast	5.240437972606149	183765.31899549445	2	1.0	discard	treat the immediate post-bootstrap round as confirmation-only and keep the active weight until a later window reaffirms a switch
2ab3ce201	fast	5.328260455109086	180865.10256320526	2	0.0	discard	later rounds first restrict the source window to a fresh recent half when that half still carries enough insert pressure, then reuse the insert-budget suffix anchor
2ab3ce201	fast	5.142579324070691	187690.17801329633	2	0.1	discard	later-round objective breaks near-best score ties by lower replay churn (mamba/state evictions and full-token evictions) while favoring smaller moves from the active weight
2ab3ce201	fast	5.363037483179596	181622.1474065404	1	0.5	discard	stage post-bootstrap control by giving the immediate follow-up round a 25 percent larger evidence budget before starting later tuning
2ab3ce201	fast	5.401911191696466	180133.24805315473	2	0.1	discard	later rounds anchor the window on the latest insert-bearing region and trim long dead tails while preserving the insert-budget bootstrap suffix
2ab3ce201	fast	5.137737605356718	187848.98638896903	1	2.0	discard	later-round objective picks among near-best weights by per-request support mass over the active weight while preserving the insert-budget bootstrap anchor
2ab3ce201	fast	5.139685523039757	187652.4641264791	1	2.0	discard	delay the immediate post-bootstrap follow-up round until it sees at least a few insert-bearing requests or a 50 percent larger evidence budget
